Keyword,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range)
bewerbungsformular vorlage,500,0%,900%,High,86,0.5,1.35
bewerbung lebenslauf muster,500,0%,0%,High,86,0.46,1.53
bewerbungsmappe beispiel,500,0%,0%,High,86,0.53,1.14
lebenslauf editor,500,0%,0%,High,85,1.34,5.37
bewerbungsvorlagen word kostenlos,500,0%,0%,High,85,0.51,1.36
hilfe beim lebenslauf schreiben,500,0%,-90%,High,85,0.84,4.09
bewerbungsschreiben word kostenlos,500,0%,0%,High,85,0.51,1.36
deckblatt bewerbung kreativ,500,-90%,-90%,High,85,,
kreatives deckblatt bewerbung,500,-90%,-90%,High,85,,
lebenslauf vorlage ki,500,-90%,0%,High,85,2.15,7.16
bewerbungsanschreiben erstellen,500,0%,0%,High,84,0.78,2.78
download lebenslauf word,500,0%,0%,High,84,0.61,1.77
bewerbung kostenlos erstellen,500,0%,0%,High,83,0.65,2.15
anschreiben kostenlos erstellen,500,0%,0%,High,83,0.61,1.94
lebenslauf englisch vorlage kostenlos,500,-90%,0%,High,83,1.15,3.22
bewerbung anschreiben kreativ,500,-90%,-90%,High,83,0.11,1.4
bewerbung und lebenslauf schreiben,500,0%,0%,High,81,0.85,3.78
lebenslauf pdf bearbeiten,500,0%,0%,High,81,1.05,3.76
kostenlose vorlage bewerbung,500,0%,0%,High,81,0.65,1.85
bewerbung kostenlose vorlage,500,0%,0%,High,81,0.65,1.85
bewerbung lehrstelle vorlage,500,0%,0%,High,81,0.35,1.43
bewerbung für eine lehrstelle vorlage,500,0%,0%,High,81,0.35,1.43
bewerbung für lehrstelle vorlage,500,0%,0%,High,81,0.35,1.43
vorlage bewerbung lehrstelle,500,0%,0%,High,81,0.35,1.43
anschreiben bewerbung erstellen,500,0%,0%,High,80,0.81,2.85
bewerbungsschreiben kostenlose vorlage,500,-90%,-90%,High,80,0.63,1.51
bewerbung anschreiben erstellen,500,0%,0%,High,80,0.81,2.85
mustervorlage bewerbung,500,0%,0%,High,80,0.52,1.37
bewerbungsschreiben muster vorlage,500,-90%,-90%,High,80,0.47,1.49
muster bewerbung vorlage,500,0%,0%,High,80,0.52,1.37
bewerbungsschreiben vorlage muster,500,-90%,-90%,High,80,0.47,1.49
bewerbungsschreiben mustervorlage,500,-90%,-90%,High,80,0.47,1.49
musterbewerbung vorlage,500,0%,0%,High,80,0.52,1.37
bewerbung online erstellen,500,0%,0%,High,79,1.14,4.44
lebenslauf und bewerbung,500,0%,0%,High,79,0.9,3.25
bewerbung kostenlos online erstellen,500,0%,0%,High,79,0.75,2.79
online bewerbung erstellen kostenlos,500,0%,0%,High,79,0.75,2.79
bewerbung online kostenlos erstellen,500,0%,0%,High,79,0.75,2.79
deckblatt bewerbung foto,500,-90%,-90%,High,79,,
deckblatt bewerbung mit foto,500,-90%,-90%,High,79,,
lebenslauf muster anschreiben,500,-90%,0%,High,79,0.46,2.05
bewerbung muster kostenlos,500,0%,0%,High,78,0.54,1.55
professionellen lebenslauf erstellen lassen,500,0%,0%,High,78,2.5,7.07
kreative bewerbung muster kostenlos,500,-90%,-90%,High,77,0.42,1.13
bewerbungsschreiben online kostenlos,500,0%,900%,High,76,0.46,1.56
bewerbung vorlage anschreiben,500,0%,900%,High,76,0.54,1.35
bewerbungsschreiben vorlage gratis,500,0%,900%,High,76,0.5,1.8
bewerbungsschreiben lebenslauf vorlage,500,0%,-90%,High,75,0.59,2.13
bewerbung lebenslauf schreiben,500,0%,0%,High,75,0.79,2.75
lebenslauf bewerbung schreiben,500,0%,0%,High,75,0.79,2.75
lebenslauf schreiben für bewerbung,500,0%,0%,High,75,0.79,2.75
lebenslauf anschreiben bewerbung,500,0%,0%,High,75,0.79,2.75
tabellarischer lebenslauf erstellen,500,0%,0%,High,74,1.06,4.13
bewerbungsschreiben vorlage word download,500,-90%,-90%,High,74,0.38,1.1
vordruck tabellarischer lebenslauf,500,-90%,0%,High,74,0.45,1.36
bewerbungsvorlagen ausbildung,500,0%,0%,High,74,0.45,1.13
modell lebenslauf,500,-90%,0%,High,74,0.38,1.6
bewerbungsschreiben lebenslauf,500,0%,0%,High,73,0.62,2.26
lebenslauf schüler vorlage kostenlos,500,-90%,-90%,High,73,0.38,0.9
bewerbung heute muster,500,0%,0%,High,73,0.38,1.22
bewerbungsvorlage openoffice,500,-90%,-90%,High,73,0.63,1.34
bewerbungen heute muster,500,0%,0%,High,73,0.38,1.22
bewerbungsmuster bewerbungsschreiben vorlage,500,0%,0%,High,73,0.25,0.96
lebenslauf vordrucke zum ausfüllen,500,-90%,-90%,High,72,0.52,1.43
